dom/plugins/ipc/PluginWidgetParent.cpp,3
toolkit/profile/ProfileUnlockerWin.cpp,6
obj-firefox/ipc/ipdl/PVideoDecoderChild.cpp,2
gfx/thebes/gfxMatrix.h,2
mozglue/misc/Mutex_posix.cpp,7
obj-firefox/dom/bindings/TextEncoderBinding.cpp,13
widget/windows/nsTextStore.cpp,9
obj-firefox/dom/bindings/HTMLBaseElementBinding.cpp,18
ipc/chromium/src/base/message_loop.h,4
xpcom/threads/Dispatcher.cpp,3
toolkit/components/url-classifier/ProtocolParser.h,3
obj-firefox/dom/bindings/ConsoleBinding.cpp,7
gfx/skia/skia/src/core/SkDevice.h,16
obj-firefox/ipc/ipdl/PBlobParent.cpp,1
modules/libjar/zipwriter/nsDeflateConverter.cpp,1
dom/promise/Promise.h,3
ipc/chromium/src/third_party/libevent/evdns.c,15
gfx/skia/skia/src/core/SkCanvas.cpp,227
layout/base/RestyleTracker.cpp,155
js/src/jit/IonBuilder.cpp,2709
js/src/jit/InlineList.h,2
widget/gtk/nsAppShell.cpp,19
dom/base/nsContentPolicy.cpp,10
js/src/builtin/Eval.cpp,60
netwerk/base/src/nsIOService.cpp,3
docshell/base/LoadContext.cpp,9
dom/base/nsDOMWindowUtils.cpp,25
obj-firefox/dist/include/mozilla/css/Rule.h,4
obj-firefox/dist/include/nsIDocument.h,1
dom/ipc/PermissionMessageUtils.cpp,4
obj-firefox/i386/dist/include/mozilla/plugins/PluginModuleChild.h,2
obj-firefox/ipc/ipdl/_ipdlheaders/mozilla/dom/PBrowserParent.h,2
security/manager/ssl/nsNSSComponent.cpp,48
layout/style/nsHTMLCSSStyleSheet.cpp,1
dom/vr/VRDisplayEvent.cpp,3
dom/indexedDB/ActorsParent.cpp,159
gfx/angle/src/libANGLE/renderer/d3d/VertexBuffer.cpp,85
dom/file/ipc/IPCBlobInputStreamThread.cpp,36
layout/painting/nsCSSRenderingBorders.cpp,253
modules/freetype2/src/cid/cidparse.c,2
modules/libpref/nsPrefBranch.cpp,3
