File,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclInstanceVariablePrivate,CountDeclMethod,CountInput,CountLine,CountOutput,Cyclomatic,MaxInheritanceTree,MaxNesting,Churn,ChurnTotal,Unique,Crashes,Security
netwerk/protocol/http/nsHttpConnectionMgr.cpp,256,8,10385,0,777,6,25,1590,616,49,6,45,1778,14,139311,1
dom/events/TouchEvent.cpp,30,0,571,0,60,0,0,99,71,0,0,2,4,2,134752,0
layout/style/ServoStyleSet.cpp,64,0,3145,0,192,3,5,496,237,5,0,131,2942,20,133366,0
layout/style/nsComputedDOMStyle.cpp,235,0,13919,0,912,3,20,2302,1131,13,0,44,786,15,129496,0
dom/bindings/BindingUtils.cpp,0,0,3846,0,0,0,0,0,0,0,0,23,825,12,127428,0
dom/media/MediaFormatReader.cpp,110,5,7241,1,402,32,47,1073,765,76,5,65,1224,13,127048,1
layout/style/CSSStyleSheet.cpp,58,1,1793,0,171,0,5,244,130,6,1,7,96,5,121481,0
js/src/vm/TypeInference.cpp,266,6,9021,1,842,13,88,1438,848,97,6,18,234,5,120357,0
memory/build/mozjemalloc.cpp,129,3,10431,3,433,4,32,564,734,43,3,63,11768,3,119624,0
widget/android/jni/Accessors.h,11,3,655,4,31,0,14,91,77,22,4,0,0,0,118400,0
ipc/mscom/ProxyStream.cpp,13,0,776,0,33,0,0,61,16,0,0,14,519,2,114089,0
view/nsViewManager.cpp,90,0,2215,0,218,0,0,302,96,0,0,4,31,4,107079,1
memory/mozalloc/mozalloc.cpp,6,0,316,0,12,0,0,16,9,0,0,3,75,2,105029,0
gfx/thebes/gfxWindowsPlatform.cpp,106,5,4449,0,317,6,54,515,283,33,5,44,743,12,102836,0
uriloader/base/nsDocLoader.cpp,99,0,2925,0,241,0,2,379,304,1,0,10,120,6,102002,0
xpcom/threads/nsThreadPool.cpp,25,0,862,0,68,0,0,126,70,0,0,3,27,3,101779,0
xpcom/ds/nsTArray.h,63,22,6112,34,275,4,44,580,6757,269,15,2,9,2,97300,0
netwerk/cache2/CacheIOThread.cpp,31,0,1179,0,75,0,1,134,97,7,0,9,27,7,95443,0
ipc/chromium/src/base/message_pump_win.cc,40,0,1010,0,99,0,0,133,86,0,0,5,10,3,95129,0
ipc/mscom/MainThreadHandoff.cpp,24,3,1267,0,84,7,4,142,60,15,2,9,36,5,94667,0
js/src/ds/LifoAlloc.cpp,12,0,315,0,22,0,0,46,21,0,0,0,0,0,93324,0
gfx/layers/composite/ContainerLayerComposite.cpp,41,0,1612,0,109,0,3,285,118,1,0,14,267,7,92547,0
toolkit/xre/nsAppRunner.cpp,129,2,10219,0,548,3,55,666,919,59,4,45,667,23,91941,1
gfx/layers/composite/ImageHost.cpp,30,0,972,0,75,0,0,147,111,0,0,2,118,2,90457,0
xpcom/base/CycleCollectedJSRuntime.cpp,64,11,3176,0,185,5,32,407,232,33,8,17,186,8,88148,0
js/src/vm/HelperThreads.cpp,100,0,4367,0,344,1,20,870,541,23,0,35,1167,9,86999,1
layout/style/StyleSheet.cpp,54,0,1646,0,150,0,0,262,125,0,0,15,195,8,86350,0
layout/painting/FrameLayerBuilder.cpp,217,4,13388,0,714,8,103,1611,966,104,4,53,1235,21,86033,1
layout/generic/nsBlockFrame.cpp,295,0,14829,0,943,0,0,1822,860,0,0,44,584,12,84774,0
layout/painting/nsDisplayList.cpp,380,0,18352,0,1215,0,9,3152,2438,8,0,156,4096,35,81862,1
netwerk/protocol/http/HttpChannelChild.cpp,165,18,7208,0,545,41,22,1026,595,41,24,38,1007,18,81476,0
dom/media/platforms/wmf/WMFVideoMFTManager.cpp,59,4,2443,0,261,1,7,296,106,6,3,50,816,12,79803,0
layout/base/nsLayoutUtils.cpp,462,3,19782,1,1434,2,14,2530,1611,7,2,75,978,30,78885,1
dom/base/Element.cpp,201,0,8492,0,688,0,0,1244,483,3,0,85,1672,25,78537,1
xpcom/ds/PLDHashTable.cpp,32,0,1482,0,96,0,0,199,412,0,0,8,98,3,77505,0
dom/media/GraphDriver.cpp,44,4,2454,0,147,2,7,353,176,4,2,30,411,9,77148,0
layout/generic/nsFrame.cpp,426,3,21874,0,1548,17,17,2706,1420,11,2,87,1963,28,77090,0
widget/nsBaseWidget.cpp,127,4,5680,0,351,11,10,666,465,4,2,32,609,18,76741,0
layout/style/nsLayoutStylesheetCache.cpp,35,0,1651,0,126,0,0,137,78,0,0,2,17,2,76711,0
mfbt/RefPtr.h,8,0,1518,0,74,4,11,145,213,54,0,2,5,2,74998,0
memory/mozalloc/mozalloc_oom.cpp,2,0,99,0,4,0,0,4,4,0,0,0,0,0,73557,0
gfx/layers/ipc/CompositorBridgeParent.cpp,77,0,4144,0,244,0,0,545,231,0,0,59,995,12,71719,1
gfx/layers/ipc/ImageBridgeChild.cpp,52,0,2236,0,147,0,6,427,184,10,0,12,152,5,69881,0
dom/media/MediaPrefs.cpp,2,0,132,0,10,0,0,14,15,0,0,0,0,0,69244,0
js/src/jsapi.cpp,253,0,14466,0,1135,3,2,2705,5274,9,0,40,1234,15,69039,0
js/src/jsscript.cpp,175,0,8621,0,745,0,0,1516,762,6,0,26,429,11,68464,0
js/src/jit/BaselineIC.cpp,109,0,9281,0,493,0,0,1555,800,0,0,25,431,8,68347,1
mozglue/build/WindowsDllBlocklist.cpp,40,0,1600,0,79,7,3,103,92,11,0,17,144,10,65744,0
dom/base/TimeoutManager.cpp,30,1,2343,0,127,1,4,262,150,6,2,46,1853,5,64811,1
ipc/mscom/WeakRef.cpp,11,0,474,0,36,0,0,59,20,0,0,6,64,4,64145,0
gfx/thebes/gfxTextRun.cpp,173,0,6766,0,548,0,2,768,534,4,0,15,179,6,63845,0
dom/base/Link.cpp,54,0,1752,0,138,0,0,290,146,0,0,16,127,9,62207,0
widget/windows/nsWindow.cpp,272,1,15373,0,1220,1,6,1389,626,11,1,45,373,22,61815,0
js/src/vm/NativeObject.h,26,3,4859,9,164,6,29,426,786,199,2,18,199,4,60401,0
mobile/android/components/build/nsAndroidHistory.cpp,38,0,749,0,96,0,0,122,52,0,0,3,21,3,60346,0
dom/plugins/ipc/PluginModuleChild.cpp,83,6,4588,2,263,10,1,478,312,10,4,10,386,6,60000,0
toolkit/xre/nsEmbedFunctions.cpp,32,2,1719,0,107,2,0,134,67,2,1,21,191,10,59108,0
widget/windows/nsAppShell.cpp,28,1,756,0,55,1,6,96,56,5,1,8,141,6,58630,0
dom/plugins/ipc/BrowserStreamParent.cpp,8,0,185,0,18,0,0,24,17,0,0,3,81,2,58420,0
layout/style/nsCSSRuleProcessor.cpp,163,8,8076,3,581,4,60,730,891,28,7,17,310,10,58349,0
gfx/2d/2D.h,8,18,3778,16,91,3,80,154,217,317,20,26,228,8,55574,0
image/DecodedSurfaceProvider.cpp,8,0,430,0,27,0,0,59,15,0,0,1,6,1,55219,0
dom/base/FragmentOrElement.cpp,153,2,4978,0,463,3,8,836,277,6,1,38,788,16,54435,0
gfx/layers/opengl/TextureHostOGL.cpp,30,0,1279,0,89,0,0,147,98,0,0,2,27,1,54419,0
image/ISurfaceProvider.h,9,1,645,3,33,8,14,69,46,35,1,0,0,0,54018,0
image/imgFrame.h,16,3,1889,0,43,32,44,86,60,77,3,0,0,0,53967,0
xpcom/threads/TaskQueue.cpp,11,0,530,0,38,0,0,91,32,0,0,3,8,2,53958,0
gfx/layers/SourceSurfaceVolatileData.h,4,1,271,0,13,7,6,20,16,13,1,5,29,2,53685,0
js/src/vm/NativeObject.cpp,120,0,5387,0,408,2,0,830,436,0,0,32,768,7,53053,0
dom/xhr/XMLHttpRequestMainThread.cpp,194,4,8441,0,770,2,7,1076,600,10,2,42,561,15,51388,1
widget/android/jni/Natives.h,21,0,1704,31,75,3,19,176,140,46,2,9,95,4,50566,0
layout/base/GeckoRestyleManager.cpp,120,0,7201,0,395,2,0,690,404,2,0,26,495,13,50543,0
dom/base/nsContentUtils.cpp,614,4,20993,0,1889,10,23,2617,1949,48,5,137,1922,46,50469,0
netwerk/base/RequestContextService.cpp,44,1,1179,0,102,10,6,197,64,8,2,8,423,5,49785,0
dom/ipc/TabParent.cpp,210,3,7104,0,647,7,22,1206,448,70,6,61,1137,16,49668,1
layout/style/nsStyleSet.cpp,138,10,5288,0,438,0,21,668,396,5,3,27,469,12,48685,0
layout/generic/nsTextFrame.cpp,448,16,22532,1,1544,36,198,2748,1908,123,8,62,1328,27,48340,0
dom/media/MediaDecoder.cpp,57,1,3018,0,223,0,3,644,252,11,1,81,1395,13,47074,1
xpcom/threads/StateMirroring.h,12,2,1076,2,57,7,30,162,118,53,4,5,165,2,46093,0
js/src/jsfun.cpp,93,0,4753,0,401,0,0,729,396,0,0,23,645,5,46003,1
image/imgFrame.cpp,41,0,1858,0,136,0,0,264,210,0,0,6,46,5,44855,0
dom/plugins/ipc/PluginInstanceChild.cpp,133,0,8062,0,496,0,0,859,630,0,0,15,423,8,44697,0
dom/ipc/ProcessHangMonitor.cpp,56,3,3186,0,158,27,29,448,202,102,4,10,601,5,44529,1
netwerk/base/nsSocketTransportService2.cpp,86,0,3239,0,239,0,0,296,363,0,0,11,386,6,44261,1
media/libcubeb/src/cubeb.c,36,0,1238,0,118,0,2,59,244,0,0,2,22,2,44034,0
toolkit/components/startup/nsAppStartup.cpp,52,2,1906,0,175,1,1,200,68,2,1,10,56,6,43988,0
js/src/gc/Nursery.cpp,50,1,2109,0,133,2,4,357,239,9,1,18,529,8,43577,0
xpcom/base/nsCOMPtr.h,14,2,2681,12,124,13,5,223,9880,2692,2,2,89,2,43282,0
js/src/jscntxtinlines.h,28,0,1200,0,89,1,16,186,185,26,0,6,23,4,43101,0
ipc/chromium/src/chrome/common/ipc_channel_win.cc,25,0,1190,0,97,0,0,187,137,0,0,0,0,0,42837,0
modules/libpref/Preferences.cpp,189,8,4184,1,480,0,25,697,299,27,6,39,1492,13,42460,0
js/xpconnect/src/XPCJSRuntime.cpp,111,9,7439,0,499,8,39,662,601,27,7,45,539,19,42052,0
dom/media/gmp/GMPChild.cpp,21,0,1120,0,58,0,0,106,39,0,0,8,334,4,41261,0
layout/printing/nsPrintObject.cpp,11,0,190,0,25,0,0,48,13,0,0,0,0,0,40810,0
mfbt/Assertions.cpp,0,0,79,0,1,0,0,3,2,0,0,0,0,0,40224,0
gfx/layers/AtomicRefCountedWithFinalize.h,7,0,498,0,16,3,0,27,24,11,0,2,15,2,40078,0
gfx/layers/wr/WebRenderLayerManager.cpp,41,0,2512,0,159,0,0,455,134,0,0,111,1540,21,39522,0
js/src/jit/VMFunctions.cpp,87,0,3491,0,266,0,0,593,392,0,0,34,518,11,38541,1
gfx/layers/composite/TextureHost.cpp,55,2,2405,0,184,0,6,321,259,8,1,26,609,11,38204,0
layout/generic/nsContainerFrame.cpp,126,0,4338,0,362,0,0,543,560,0,0,14,266,7,38101,1
netwerk/base/nsSocketTransport2.cpp,123,4,6906,0,463,5,2,689,376,4,2,25,404,12,37840,1
dom/performance/PerformanceNavigationTiming.cpp,2,0,165,0,14,0,0,31,8,0,0,1,3,1,37571,0
js/src/jsobj.cpp,223,1,7782,0,779,1,6,1216,1119,2,1,39,1289,14,36594,0
netwerk/cache2/CacheFile.cpp,146,6,5264,0,417,1,16,730,284,19,3,10,159,4,36548,0
js/src/jit/MIRGraph.cpp,94,0,3281,0,269,0,0,603,211,0,0,5,202,1,36507,1
gfx/layers/mlgpu/FrameBuilder.cpp,19,0,831,0,56,0,0,137,38,0,0,10,938,5,36467,0
